Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Bradbury, Judd D","Sharma, Aman",,,,,MIS,6380,0W1,,9,7,7,2,6,5,,,,,,,,,,,,,jdb101000,judd bradbury
"Hefley, William E","Ozdemir, Dicle Yagmur",,,,,MIS,6204,0W1,,17,,5,9,,2,3,,,,,4,,,,,,2,kts130030,kelly slaughter
"Islam, Naser","Sun, Geng",,,,,MIS,6309,5U1,,18,,11,10,2,,,,,,,2,,,,,,1,nxi110630,naser islam
"Ryu, Young","Pakala, Tharun Reddy",,,,,MIS,6326,0W1,,18,3,3,15,3,,,,,,,1,,,,,,1,ryoung,young ryu
"Thouin, Mark",,,,,,MIS,6360,0W1,,19,12,13,3,,,1,,,,,,,,,,,,mxt083000,mark thouin
"Raghunathan, Srinivasan","Hosseini, Leila",,,,,MIS,6308,0W1,,10,16,13,12,,,,,,,,1,,,,,1,,sraghu,srinivasan raghunathan
"Raghunathan, Srinivasan","Hosseini, Leila",,,,,MIS,6308,0W2,,9,22,15,7,,,,,,,,,,,,,,,sraghu,srinivasan raghunathan
"Wu, Fang","Zihagh, Fereshteh",,,,,MKT,4380,0W1,,4,,2,5,,1,,,,,,,,,,,,,fxw052000,fang wu
"Rajaratnam, Daniel",,,,,,MKT,6301,5U2,,3,,6,4,,,,,,,,,,,,,,,dxr143430,daniel rajaratnam
"Grigsby, Mike",,,,,,MKT,6337,5U1,,2,,2,9,,,,,,,,,,,,,,,mxg153330,mike grigsby
"Amirpour, Semiramis",,,,,,MKT,3330,0U1,3,2,1,2,1,1,,,1,,1,,3,,,,,,,sxa130731,semiramis amirpour
"Hudelot, Loretta F",,,,,,MKT,3340,5U1,,6,,3,6,,,,,,,,,,,,,1,,lfh170000,loretta hudelot
"Albrecht, Maria",,,,,,MKT,6301,XS1,,15,,,1,,,,,,,,,,,,,1,,mxa180037,maria albrecht
"Pacyna, Sandra",,,,,,MKT,4334,5U1,1,2,5,2,5,,2,,,,,,,,,,,,,sxp158130,sandra pacyna
"Rao, Ram C","Bhave, Ashutosh C",,,,,MKT,6336,0W1,,5,5,4,4,2,,,,,,,,,,,,,,rrao,ram rao
"Rajaratnam, Daniel",,,,,,MKT,6339,0W1,,1,,7,16,,,1,,,,,,,,,,,,dxr143430,daniel rajaratnam
"Tirone, Guido",,,,,,MKT,6352,5U1,,10,2,5,6,2,,,,,,,,,,,,,2,gxt170001,guido tirone
"Edsel, Alexander D","Surolia, Prakhar",,,,,MKT,4330,0W1,4,5,2,1,3,5,3,1,3,,,,1,,,,,1,,ade012000,alexander edsel
"Gafford, Jerome M",,,,,,MKT,3300,0U1,2,7,4,7,3,4,,1,2,,2,,,,,,,,,jmg171130,jerome gafford
"Dickinson, Keith",,,,,,MKT,3300,5U1,10,10,,,5,,,4,,,1,,3,,,,,,,kxd084000,keith dickinson
"Biswas, Abhijit","Jameei Osgouei, Ata",,,,,MKT,6332,0W1,,14,8,9,8,2,3,,,,,,,,,,,,,axb019100,abhijit biswas
"Pahwa, Parneet",,,,,,MKT,6301,0W1,,15,5,9,14,3,,1,,,,,,,,,,,,axb019100,abhijit biswas
"Pahwa, Parneet",,,,,,MKT,3300,0W1,,20,6,7,15,,,,,,,,1,,,,,,,pxp030100,parneet pahwa
"Pahwa, Parneet",,,,,,MKT,6301,0W2,,17,8,7,13,,2,2,,,,,,,,,,,,axb019100,abhijit biswas
"Edsel, Alexander D",,,,,,MKT,6321,0W1,,14,7,10,16,,2,1,,,,,,,,,,,,ade012000,alexander edsel
"Medrick, Mary A",,,,,,MUSI,3322,051,3,7,2,3,1,2,,1,,,,,,,,,,,,mam017200,mary medrick
"McWilliams, Steven P","Phensy, Aarron J","Inyang, Kufreobong E",,,,NSC,4353,1U1,,3,3,1,2,1,2,1,1,,,,,,,,,,,sxm127330,steven mcwilliams
"Sultana, Rukhsana","Wilhelm, Rachel","dos Santos, Natalia Lucia","Szabo-Pardi, Thomas A","Garner, Katherine M",,NSC,4353,1U2,,4,6,2,3,,,,,,,,,,,,,,,rxs170431,rukhsana sultana
"Sultana, Rukhsana",,,,,,NSC,4352,0U1,2,4,1,3,1,1,1,,2,1,,,2,,,,,,,rxs170431,rukhsana sultana
"Sultana, Rukhsana",,,,,,NSC,4354,0U1,1,2,8,6,2,1,4,3,2,,1,,1,,,,,,,rxs170431,rukhsana sultana
"McWilliams, Steven P","Lackovic, Jacob",,,,,NSC,3361,0U1,3,5,11,3,5,6,5,5,3,2,3,2,2,,,,,,,sxm127330,steven mcwilliams
"Hicks, Robert",,,,,,OB,6351,CW1,,5,14,2,1,1,,,,,,,,,,,,2,,,robert hicks
"Hicks, Robert",,,,,,OB,6249,CW1,,24,,,1,,,,,,,,,,,,,,,,robert hicks
"Rockett, Tracey L",,,,,,OB,6331,CW1,,18,3,3,,,,,,,,,1,,,,,,,,tracey rockett
"Plaisance Bryan, Suzette T",,,,,,OB,6V99,CW2,,28,1,,,,,,,,,,1,,,,,,1,,suzette plaisance bryan
"Kidwell, Virginie",,,,,,OB,6301,5U2,,40,,,,,,,,,,,,,,,,,,vxk133330,virginie kidwell
"Hasenhuttl, Maria","Jung, Young-Hoon",,,,,OB,6301,0W2,,32,,,6,,,2,,,,,1,,,,,,,h1562,maria hasenhuttl
"Krapu, Thomas M",,,,,,OB,6352,CW1,,32,5,2,1,1,,,,,,,1,,,,,1,,,thomas krapu
"Hasenhuttl, Maria","Jung, Young-Hoon",,,,,OB,6301,0W1,,40,,,3,,,,,,,,,,,,,,,ziegler,laurie ziegler
"Kidwell, Virginie",,,,,,OB,6301,5U1,,43,,,,1,,1,,,,,,,,,,,,vxk133330,virginie kidwell
"Richard, Orlando","Kemp, Ayenda",,,,,OB,6307,0W1,,44,2,,1,,,,,,,,,,,,,,3,pretty,orlando richard
"Ritchey, David B",,,,,,OBHR,4350,5U1,4,12,4,4,3,4,2,,,,,,,,,,,,,davidr,david ritchey
"Nguyen, Huy",,,,,,OBHR,3310,5U1,2,7,9,1,12,1,1,2,,,,,3,,,,,,,hxn130630,huy nguyen
"Ritchey, David B",,,,,,OBHR,3310,0U1,6,8,9,7,10,1,1,3,2,1,,1,,,,,,,,davidr,david ritchey
"Ramanathan, Kannan",,,,,,OPRE,6354,5U1,,7,1,1,2,,2,,,,,,,,,,,,,kxr087000,kannan ramanathan
"Szot, James","Hefley, William E","Hicks, Jeffrey N",,,,OPRE,6376,PS1,,5,4,1,2,,,,,,,,1,,,,,,,,james szot
"Rajamani, Divakar",,,,,,OPRE,6342,PU1,,8,3,2,,1,,,,,,,,,,,,,,dxr020100,divakar rajamani
"Thompson, Luell O",,,,,,OPRE,6390,0W1,,8,,,5,,,1,,,,,,,,,,,,lot013000,luell thompson
"Kim, Dohyeong",,,,,,OPRE,6301,CH1,,11,1,2,1,1,,,,,,,,,,,,,,dxk132530,dohyeong kim
"Joiner, James C",,,,,,OPRE,6302,PU1,,14,1,,1,,,,,,,,,,,,,,,,james joiner
"Parks, David",,,,,,OPRE,3310,0U2,,1,3,,4,,,7,,,1,,,,,,,1,,dxp153830,david parks
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,OPRE,6303,0W1,,10,,2,1,,2,,,,,,2,,,,,,,asethi,awanti sethi
"Cavusoglu, Huseyin","Pakala, Tharun Reddy",,,,,OPRE,6393,0W1,,6,3,3,2,,2,1,,,,,,,,,,,,huseyin,huseyin cavusoglu
"Alimirzaei, Athena","Armaghan, Milad",,,,,OPRE,6398,5U1,,21,3,2,2,,,,,,,,,,,,,,,axa134231,athena alimirzaei
"Cao, Ying",,,,,,OPRE,3310,5U1,16,8,2,7,1,,1,,,,,,,,,,,,,yxc121130,ying cao
"Ramanathan, Kannan",,,,,,OPRE,6332,5U2,,21,7,4,,1,2,,,,,,1,,,,,1,1,kxr087000,kannan ramanathan
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,OPRE,6301,5U2,,15,5,5,4,,5,1,,,,,3,,,,,1,2,asethi,awanti sethi
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6302,MBP,,24,4,10,4,1,,,,,,,,,,,,,,rxs179630,ramesh subramoniam
"Brussolo, Monica E",,,,,,OPRE,6301,5U1,,18,1,5,5,,1,5,,,,,4,,,,,,5,meb049000,monica brussolo
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6301,0W1,,12,12,9,4,3,2,2,,,,,1,,,,,,,flannery,carol flannery
"Ramanathan, Kannan",,,,,,OPRE,6332,5U1,,25,9,5,4,1,1,,,,,,1,,,,,,1,kxr087000,kannan ramanathan
"Brussolo, Monica E","Shi, Lingling",,,,,OPRE,3333,0U1,5,5,6,5,3,7,1,2,1,3,,,7,,,,,1,,meb049000,monica brussolo
"ye, Shengqi","Shi, Lingling",,,,,OPRE,6302,0W1,,23,9,8,5,2,2,2,,,,,,,,,,,1,milind,milind dawande
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6302,5U1,,19,8,5,7,3,6,2,,,,,3,,,,,,2,sel120030,sonia leach
"Naseri Taheri, Mohammad","Lee, Chungseung",,,,,OPRE,3360,5U1,4,5,10,11,5,6,4,1,8,,,,,,,,,,,mxn121930,mohammad naseri
"Naseri Taheri, Mohammad","Lee, Chungseung",,,,,OPRE,3333,5U1,3,6,9,10,6,6,4,4,3,,,,2,,,,,,3,mxn121930,mohammad naseri
"Alimirzaei, Athena","Armaghan, Milad",,,,,OPRE,3360,0U1,11,7,,9,15,,10,3,,1,1,,2,,,,,,,axa134231,athena alimirzaei
"Shan, Xi",,,,,,OPRE,3310,0U1,16,22,12,12,11,,,9,,,,,,,,,,,,xxs130630,xi shan
"Beauchamp, Joe P",,,,,,PA,6318,0W1,,11,1,1,,1,,,,,,,,,,,,,,jpb016300,joe beauchamp
"Cohen, Galia",,,,,,PA,6345,5U1,,8,6,1,,,,,,,,,,,,,,,,gxc097120,galia cohen
"Harrington, James",,,,,,PA,6315,5U1,,23,5,1,,,,,,,,,1,,,,,,,jxh134630,james harrington
"Macalevey, Paul J","Fernando, Bharana A","Hussain, Shadhin","Parajuli, Santosh",,,PHYS,2126,1U2,2,6,4,,,,,,,,1,,,,,,,,,paulmac,paul macalevey
"Malko, Anton V","Proctor, Matthew S",,,,,PHYS,2325,0U1,,3,3,3,1,1,,2,1,,,,1,,,,,,,avm074000,anton malko
"Sun, Kuei","Mahmud, Mohammad M","Zhou, Xiaohe",,,,PHYS,2125,1U2,10,10,,,,,,,,,,,,,,,,,,kxs147030,kuei sun
"Ishak-Boushaki, Mustapha","Gu, Wenyao",,,,,PHYS,2325,5U1,5,5,4,3,3,,1,,1,,,,,,,,,,,mxi054000,mustapha ishak boushaki
"Macalevey, Paul J","Fernando, Bharana A","Kakani, Vivek M","Parajuli, Santosh",,,PHYS,2126,1U1,10,11,1,1,,,,,,,,,,,,,,,,paulmac,paul macalevey
"Sun, Kuei","Agashe, Anish N","Javed, Umar",,,,PHYS,2125,1U1,4,19,,1,1,1,1,,,,,,3,,,,,,,kxs147030,kuei sun
"Slinker, Jason D",,,,,,PHYS,1301,0U1,10,10,3,,3,2,3,2,,2,1,,6,,,,,,,jds107020,jason slinker
"Gartstein, Yuri","Pedersen, Eske M","Bhattacharjee, Koustubh",,,,PHYS,2326,0U1,2,9,9,4,7,6,2,6,2,1,1,,,,,,,,,yxg037000,yuri gartstein
"Das, Soham",,,,,,PSCI,4396,0U1,5,3,4,3,1,,1,,,,,1,,,,,,,,sxd153330,soham das
"Kapolowicz, Michelle R","Gonen, Chen",,,,,PSY,3393,5U1,4,2,4,3,,1,,,,,,,,,,,,,1,mrk092020,
"Huxtable-Jester, Karen J","Austin, Kathryn A",,,,,PSY,3339,0U1,,4,,1,3,1,2,,1,,1,,2,,,,,,,kxh014900,karen huxtable jester
"Hahn, Amanda C","Debrabander, Kilee M",,,,,PSY,3393,0U1,5,3,2,1,2,,,2,,,,,2,,,,,,,ach103020,amanda hahn
"Kapolowicz, Michelle R","Gunal, Mehmet",,,,,PSY,3393,5U2,2,9,2,,3,1,,,,,,,,,,,,,,mrk092020,
"Pacheco, Daniel F","Carson, Kevin J",,,,,PSY,2317,0U1,,,7,3,4,3,1,1,2,,,,,,,,,,,pdaniel,daniel pacheco
"Raman, Rachna","Adelson, Megan J",,,,,PSY,3392,0U1,4,2,3,1,3,4,3,4,2,1,,,1,,,,,,,rxr076000,rachna raman
"Barfoot, John W","Peskova, Olga",,,,,PSY,3342,0U1,1,6,4,8,5,2,1,1,2,,,,,,,,,,1,jwb043000,john barfoot
"Assmann, Peter","Gryder, Kieth",,,,,PSY,3360,5U1,3,1,5,3,8,6,2,3,3,1,1,,1,,,,,,1,assmann,peter assmann
"Meltzer, Mitchell A","Wu, Sining",,,,,PSY,3361,0U1,,13,6,8,4,1,5,2,2,2,3,1,,,,,,,,mam089100,mitchell meltzer
"Sands, Kaitlin R","Terry, Courtney",,,,,PSY,3310,0U1,,4,8,7,11,6,4,5,2,2,,,3,,,,,,,krs150330,
"Parsons, Julie A","Helfers, Samantha",,,,,PSY,3331,0U1,,30,14,14,7,7,3,3,2,,,,5,,,,,,,jab140230,julie parsons
"Guttery, Randall",,,,,,REAL,6321,5U1,,7,,,4,,,,,,,,,,,,,,,rxg112530,randall guttery
"Berry, Tracey R",,,,,,RHET,1302,0S1,,5,1,1,2,,,,,,,,1,,,,,,,txb112130,tracey berry
"DiNuzzo, Brian",,,,,,RHET,1302,0S2,,2,1,2,3,1,,1,,,,,,,,,,,,bxd141330,brian dinuzzo
"Bell, Joycelyn M",,,,,,RHET,1302,0S3,,5,3,,3,,,,,,,,,,,,,,,jxb120631,
"Stout, Patricia J",,,,,,RHET,1302,091,,5,4,2,1,,1,,,,,1,1,,,,,,,pjs140230,
"McIntosh, Suzanne K",,,,,,RHET,1302,053,1,10,2,,1,,,,1,,,,1,,,,,,1,skm130030,suzanne mcintosh
"Shierry, Addison",,,,,,RHET,1302,051,5,4,2,,1,2,,,1,,1,,2,,,,,,,axs084500,addison shierry
"Boyer, Kent L",,,,,,RHET,1302,052,10,2,2,1,2,,,,1,,,,1,,,,,,,klb140030,kent boyer
"Stuart, Georgia K",,,,,,SCI,5V06,0H1,,,,,,,,,,,,,,,,,,,,,georgia stuart
"Bateni, Soroush","Gokhale, Shreyas S","Tian, Zijing",,,,SE,4348,0U1,1,1,,1,2,,1,,,,,,3,,,,,,,sxb155530,
"Straach, Janell",,,,,,SE,6388,MS1,,8,,,,2,,,,,,,,,,,,,,jxs017800,janell straach
"Mazidi, Karen J","Torabi, Behnam",,,,,SE,3340,0U2,,,3,,,1,1,1,,,,,4,,,,,,,kjm160430,karen mazidi
"Christiansen, Michael G","Gu, Shuyang",,,,,SE,4347,0U2,1,3,2,2,2,,1,1,,,1,,,,,,,,,mgc013000,michael christiansen
"Chung, Lawrence",,,,,,SE,4352,0U1,1,1,2,,3,2,1,2,2,,,,,,,,,,,chung,lawrence chung
"Paulk, Mark C","Wang, Zhuoyi",,,,,SE,4381,0U1,,2,6,3,2,4,4,1,2,,,1,,,,,,,,mcp130030,mark paulk
"Taylor, Stephanie M",,,,,,SMED,5301,0W1,,11,3,2,,,1,,,,,,1,,,,,,,smt031000,stephanie taylor
"Lanham, Carol C",,,,,,SOC,4396,0S1,4,11,1,1,,,,,,,,,,,,,,1,,dpb062000,denise boots
"Malek-Ahmadi, John H",,,,,,SOC,1301,0W1,,15,,1,7,1,,3,,,,,3,,,,,,,zrs160030,zachary simoni
"Gonzalez, Cristina M",,,,,,SPAN,2341,051,,13,,,,,,,,,,,,,,,,,,cxg042000,cristina gonzalez
"Katz, William","Doli, Evdoxia",,,,,SPAU,3343,0U1,,3,5,1,,,,,,,,,,,,,,,,wkatz,william katz
"Barfoot, John W","Peskova, Olga",,,,,SPAU,3342,0U1,,3,2,3,1,2,1,,,,,,1,,,,,,,jwb043000,john barfoot
"Kaplan, Karen",,,,,,SPAU,4394,051,1,8,,1,3,,1,2,,,,,,,,,,,,kkaplan,karen kaplan
"Schneider, Julie M","Poudel, Sonali",,,,,SPAU,3303,0U1,6,8,1,,1,1,,,,,,,,,,,,,,jxs114631,
"Koshevnik, Yuly","Caseria, Brendan J",,,,,STAT,3360,5U1,,4,,,2,1,,,,,1,1,1,,,,,,,yxk055000,yuly koshevnik
"Koshevnik, Yuly","Yuan, Xiaochen",,,,,STAT,1342,0U1,2,1,1,1,3,1,,1,,,,,1,,,,,,,yxk055000,yuly koshevnik
"Whalen, Tristan G","Rajapaksha, Rajapaksha Mudalige S",,,,,STAT,2332,0U1,8,6,2,2,3,2,2,,1,,1,1,3,,,,,,,tgw100020,tristan whalen
,,,,,,UTD,STAB,001,,,,,,,,,,,,,,,,,,,,,
